code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.09660,地平线机器人-W,2025-03-03 00:00:00,8.45,8.75,8.87,8.06,0.0,0.00526,69368984,590855832.0,5.421686746987943,8.3
HK.09660,地平线机器人-W,2025-03-04 00:00:00,8.33,9.06,9.21,7.96,0.0,0.0045,59392163,526172682.0,3.5428571428571485,8.75
HK.09660,地平线机器人-W,2025-03-05 00:00:00,9.13,9.45,9.48,8.76,0.0,0.00446,58831875,538316247.0,4.304635761589391,9.06
HK.09660,地平线机器人-W,2025-03-06 00:00:00,9.65,9.33,9.75,9.12,0.0,0.00494,65251279,613323835.0,-1.2698412698412618,9.45
HK.09660,地平线机器人-W,2025-03-07 00:00:00,9.13,9.16,9.52,9.0,0.0,0.00891,117666600,1082659849.0,-1.822079314040728,9.33
HK.09660,地平线机器人-W,2025-03-10 00:00:00,9.0,8.71,9.14,8.65,0.0,0.00393,51942019,460124915.0,-4.9126637554585075,9.16
HK.09660,地平线机器人-W,2025-03-11 00:00:00,8.5,8.92,9.12,8.4,0.0,0.00342,45140248,400176966.0,2.4110218140068778,8.71
HK.09660,地平线机器人-W,2025-03-12 00:00:00,9.1,8.39,9.19,8.22,0.0,0.00535,70676145,610843671.0,-5.941704035874432,8.92
HK.09660,地平线机器人-W,2025-03-13 00:00:00,8.45,7.92,8.56,7.81,0.0,0.00582,76889671,617736412.0,-5.601907032181176,8.39
HK.09660,地平线机器人-W,2025-03-14 00:00:00,7.98,7.63,8.0,7.48,0.0,0.00629,83069422,632855203.0,-3.661616161616162,7.92
HK.09660,地平线机器人-W,2025-03-17 00:00:00,7.64,7.24,7.7,7.16,0.0,0.00408,53919974,394097140.0,-5.111402359108777,7.63
HK.09660,地平线机器人-W,2025-03-18 00:00:00,7.38,7.68,7.92,7.17,0.0,0.00622,82040015,613835577.0,6.0773480662983355,7.24
HK.09660,地平线机器人-W,2025-03-19 00:00:00,7.69,8.01,8.34,7.46,0.0,0.0071,93749500,748169856.0,4.296875000000002,7.68
HK.09660,地平线机器人-W,2025-03-20 00:00:00,8.04,7.53,8.16,7.52,0.0,0.0044,58082583,449981134.0,-5.992509363295874,8.01
HK.09660,地平线机器人-W,2025-03-21 00:00:00,7.5,7.59,7.73,7.3,39.531,0.00286,37738671,282584472.0,0.7968127490039788,7.53
HK.09660,地平线机器人-W,2025-03-24 00:00:00,7.8,7.39,7.9,7.22,38.489,0.00282,37165842,273761820.0,-2.635046113306985,7.59
HK.09660,地平线机器人-W,2025-03-25 00:00:00,7.37,7.24,7.53,7.06,37.708,0.00223,29474408,212692851.0,-2.0297699594045935,7.39
HK.09660,地平线机器人-W,2025-03-26 00:00:00,7.29,7.47,7.6,7.26,38.906,0.00183,24131000,179004427.0,3.1767955801104906,7.24
HK.09660,地平线机器人-W,2025-03-27 00:00:00,7.53,7.66,7.78,7.34,39.895,0.00226,29826712,226570216.0,2.5435073627844766,7.47
HK.09660,地平线机器人-W,2025-03-28 00:00:00,7.7,7.36,7.75,7.09,38.333,0.00345,45542170,331333002.0,-3.9164490861618773,7.66
HK.09660,地平线机器人-W,2025-03-31 00:00:00,7.15,6.67,7.22,6.55,34.739,0.00414,54657007,369032161.0,-9.375000000000005,7.36
HK.09660,地平线机器人-W,2025-04-01 00:00:00,6.75,6.4,6.83,6.33,33.333,0.00352,46473308,303331695.0,-4.047976011993996,6.67
HK.09660,地平线机器人-W,2025-04-02 00:00:00,6.4,6.08,6.53,6.05,31.666,0.0049,64676370,404162845.0,-5.000000000000004,6.4
HK.09660,地平线机器人-W,2025-04-03 00:00:00,5.9,5.92,6.27,5.85,30.833,0.00326,42980183,258186404.0,-2.6315789473684235,6.08
HK.09660,地平线机器人-W,2025-04-07 00:00:00,5.12,4.62,5.24,4.55,24.062,0.00902,119034576,574161495.0,-21.959459459459456,5.92
HK.09660,地平线机器人-W,2025-04-08 00:00:00,4.91,5.14,5.26,4.8,26.77,0.00648,85525896,432310812.0,11.255411255411246,4.62
HK.09660,地平线机器人-W,2025-04-09 00:00:00,4.84,5.6,5.71,4.81,29.166,0.00703,92827398,498510389.0,8.949416342412452,5.14
HK.09660,地平线机器人-W,2025-04-10 00:00:00,6.0,5.7,6.12,5.68,29.687,0.00566,74726505,440530839.0,1.7857142857142954,5.6
HK.09660,地平线机器人-W,2025-04-11 00:00:00,5.64,6.3,6.5,5.51,32.812,0.00664,87602402,545788690.0,10.526315789473678,5.7
HK.09660,地平线机器人-W,2025-04-14 00:00:00,6.5,5.97,6.58,5.87,31.093,0.00524,69150658,426955577.0,-5.23809523809524,6.3
HK.09660,地平线机器人-W,2025-04-15 00:00:00,6.03,5.82,6.19,5.8,30.312,0.00274,36128902,215371049.0,-2.5125628140703427,5.97
HK.09660,地平线机器人-W,2025-04-16 00:00:00,5.77,5.52,5.79,5.38,28.75,0.00351,46272724,255213552.0,-5.154639175257744,5.82
HK.09660,地平线机器人-W,2025-04-17 00:00:00,5.52,5.47,5.68,5.36,28.489,0.00284,37513600,205126475.0,-0.9057971014492723,5.52
HK.09660,地平线机器人-W,2025-04-22 00:00:00,5.43,5.29,5.62,5.2,27.552,0.00454,59913796,322353515.0,-3.2906764168190077,5.47
HK.09660,地平线机器人-W,2025-04-23 00:00:00,5.5,5.85,6.1,5.42,30.468,0.00957,126334483,744889426.0,10.586011342155002,5.29
HK.09660,地平线机器人-W,2025-04-24 00:00:00,4.98,5.6,5.7,4.8,29.166,0.06617,873411510,4604596572.0,-4.273504273504273,5.85
HK.09660,地平线机器人-W,2025-04-25 00:00:00,5.78,5.81,6.33,5.75,30.26,0.02553,336944473,2015799704.0,3.75,5.6
HK.09660,地平线机器人-W,2025-04-28 00:00:00,5.84,5.69,6.05,5.68,29.635,0.01144,150997142,887653417.0,-2.065404475043016,5.81
HK.09660,地平线机器人-W,2025-04-29 00:00:00,5.8,6.47,6.62,5.71,33.697,0.02358,311316597,1944984178.0,13.708260105448142,5.69
HK.09660,地平线机器人-W,2025-04-30 00:00:00,6.6,6.55,6.73,6.35,34.114,0.01278,168719778,1098459227.0,1.2364760432766626,6.47
HK.09660,地平线机器人-W,2025-05-02 00:00:00,6.62,7.5,7.54,6.26,39.062,0.02078,274361349,1935514947.0,14.503816793893131,6.55
